,0
0,Hun
1,Jap
2,Jihadi
3,Yardie
5,abhor
8,abominable
9,abomination
15,abusive
26,affront
34,agitator
45,aloof
47,ambush
49,anarchist
54,annihilate
64,appalled
68,arrogance
69,arrogant
70,arse
71,ashamed
72,asinine
74,ass
75,assassinate
76,assault
77,asshole
78,atrocity
80,attack
85,avarice
86,avaricious
90,awful
91,awfulness
92,awkward
94,backbiting
95,backward
99,bampot
103,barbaric
104,barbarous
106,bastard
109,beaner
110,beast
111,beastly
114,belittle
120,bestial
122,betrayer
129,bint
130,bitch
132,bitter
133,blab
134,blabber
137,blaspheme
138,blasphemy
141,blather
144,blind
148,bloodthirsty
151,bogan
153,bogus
154,bollocks
156,bombardment
158,boner
161,botch
164,braggart
166,bravado
173,brutality
175,brute
176,buckra
178,bugger
179,bullshit
180,bully
182,bungler
183,burdensome
184,burrhead
186,butchery
189,cancer
190,cancerous
191,cannibalize
192,capricious
193,capriciousness
194,careless
195,carelessness
197,carnage
204,celesbian
209,charva
210,charver
214,chav
216,cheat
217,cheat
222,chonky
223,chug
225,cliche
228,clumsy
229,cock
230,cocky
233,cold
241,complacent
245,conceited
264,contempt
272,coolie
273,coon
274,cooter
276,corrosive
280,cracker
282,crap
283,crass
285,craziness
287,cringe
288,cripple
289,cripple
293,crude
294,cruel
299,cuck
300,cunt
301,curse
302,cursed
306,dago
309,damn
314,darkey
315,darkie
316,dawdle
325,debauchery
329,deceitful
348,delinquent
351,deluded
353,demean
355,demonize
357,denigrate
368,despotic
369,despotism
373,destroy
375,destructive
377,detest
378,detestable
381,devil
384,dhimmi
385,diabolic
386,diatribe
387,dick
388,dictatorial
395,dinge
396,dink
412,disbeliever
423,discouraging
427,disdainful
428,disgraceful
431,disgust
432,disgusted
433,dishonest
434,dishonesty
435,dishonor
436,disillusion
440,disintegrate
443,disloyalty
444,dismal
455,disrespect
456,disrespectful
466,distasteful
476,div
488,douchbag
492,dragon
493,drain
496,dubious
497,dud
498,dullard
499,dumb
500,dumbass
501,dummy
503,dunce
504,dupe
506,dyke
507,earsplitting
509,effrontery
511,egomania
512,egotism
513,egotistical
518,embarrassing
519,embarrassment
528,enslave
532,envious
533,envy
534,envy
544,evil
545,evildoer
546,eviscerate
558,exploitation
560,exterminate
563,eyetie
564,fabricate
565,fag
566,faggot
567,fail
574,fanny
575,fart
576,fart
578,fatalistic
582,feeble
585,felon
586,felonious
587,fetid
591,fibber
596,fiend
598,filthy
600,finocchio
602,flaky
603,flamer
608,flid
615,foolishness
620,foul
621,foulness
624,fraudulent
627,freakish
632,frigid
633,frocio
638,fuck
639,fuck
650,gauche
652,geezer
653,genocide
654,gibber
655,ginger
656,ginzo
657,gippo
664,gobber
666,goof
667,gook
668,gossip
669,gossip
670,graceless
673,greaseball
674,greed
677,grimace
679,gringo
681,groid
682,grotesque
683,grouch
684,grouchy
688,gruesome
689,gubba
692,gurrier
693,gyp
694,gyppo
696,hairyback
697,halfhearted
698,halfrican
702,haphazard
707,harridan
709,hate
710,hateful
711,hater
714,hayseed
717,heartless
719,heathen
720,heavy-handed
721,heckle
722,heeb
726,heretical
728,hick
729,hillbilly
732,hoax
734,hoe
735,honky
737,hopeless
739,horrendous
740,horrid
744,huckster
745,humiliate
746,humping
747,hurt
748,hustler
749,hypocrite
751,idiocy
752,idiot
756,ignorant
758,ikey
763,imbecile
766,immoral
767,immorality
774,imperious
777,impertinent
779,impiety
805,incompetence
809,inconsiderate
815,incorrigible
828,ineptitude
841,infidel
842,infiltrator
848,ingrate
851,inhospitality
852,inhumanity
855,injun
861,insane
862,insanity
867,insincerity
871,insubordinate
872,insufferable
874,insult
875,insulting
880,intimidate
882,intimidation
885,intrude
890,invective
891,invidious
899,irritant
903,ivory
904,jagoff
905,jealous
906,jeer
908,jerk
909,jigaboo
916,kick
917,kike
918,kill
919,killer
922,kook
923,kooky
924,kraut
925,kyke
926,lackadaisical
932,latrino
937,lecher
938,lechery
940,leer
941,lesbo
944,lewd
945,lewdness
946,lezzie
948,licentious
949,lie
953,loathsome
957,loser
958,lousy
960,lubra
965,lurid
966,lurk
967,madman
968,madness
969,maggot
972,maliciousness
974,malign
975,malodorous
978,manipulative
981,massacre
985,merciless
988,midget
996,miser
1015,mockery
1016,molest
1017,molestation
1018,mong
1020,monster
1021,mook
1023,mope
1025,moron
1027,motherfucker
1032,mudslinging
1033,muff
1034,mulato
1035,murder
1036,murder
1037,mutt
1038,muzzie
1043,nacho
1044,nag
1045,nagging
1046,nastiness
1047,nasty
1053,nefarious
1056,negligence
1057,negligent
1058,negro
1062,nigger
1065,niglet
1067,nonsense
1069,nuisance
1071,nutsack
1075,obliterate
1076,obscene
1077,obscenity
1078,obsess
1080,obsessiveness
1084,ocker
1086,ofay
1088,officious
1092,onslaught
1101,outrageousness
1115,overzealous
1116,paki
1117,paleface
1122,pansy
1124,paranoia
1125,paranoid
1133,peevish
1136,penis
1138,perfunctory
1141,perish
1144,perverse
1145,perversion
1147,perverted
1156,piss
1160,plague
1165,pogue
1166,poisonous
1167,polack
1169,pommy
1170,pompous
1171,pout
1175,prattle
1177,prejudicial
1180,presumptuous
1182,pretentious
1185,prick
1191,profane
1198,pry
1199,pullock
1202,pussy
1209,queer
1219,raghead
1226,rant
1231,recalcitrant
1234,recklessness
1236,redneck
1243,remorseless
1247,reprehensible
1264,retard
1269,revengeful
1270,revile
1275,ridicule
1279,rot
1280,rotten
1282,roundeye
1283,rude
1284,ruffian
1286,ruthlessness
1291,sanctimonious
1295,savage
1296,savage
1297,scag
1298,scandalize
1299,scank
1306,scheming
1307,schlong
1308,schmuck
1311,scoundrel
1312,scowl
1314,scum
1315,second-class
1317,seedy
1321,self-interested
1324,servitude
1326,shady
1329,sham
1330,shame
1331,shame
1332,shamelessness
1334,shirk
1335,shirker
1336,shit
1337,shitty
1346,shyster
1350,silly
1351,skanger
1354,sketchy
1357,slander
1359,slanderous
1360,slant
1361,slap
1362,slaughter
1363,sleazy
1366,slothful
1369,sluggish
1371,slut
1377,smug
1378,smut
1382,sneaky
1383,sneer
1384,sneer
1385,snout
1386,snowflake
1392,sour
1394,spick
1395,spide
1396,spigger
1398,spiteful
1399,spitefulness
1401,spoil
1403,spurn
1407,squaw
1416,stench
1419,stink
1420,stink
1421,stinking
1424,strange
1426,strangle
1430,stubborn
1438,substandard
1443,sucker
1447,sulk
1454,swagger
1456,swindle
1462,tantrum
1463,tart
1464,taunt
1466,tedious
1477,thoughtless
1481,throttle
1488,torment
1489,torment
1491,torture
1492,torture
1497,traitor
1498,tramp
1500,tranny
1502,travesty
1503,treasonous
1511,twat
1512,twink
1514,twisted
1515,tyrannical
1516,ugliness
1517,ugly
1521,unbearable
1530,uneasy
1532,unethical
1534,unfaithful
1536,unfeeling
1540,unhealthy
1556,unruly
1567,unwanted
1572,unworthy
1582,usurper
1585,vengeful
1588,viciousness
1590,vile
1593,violation
1595,violent
1596,viper
1599,vomit
1600,vulgar
1605,warped
1607,waste
1609,wastefulness
1615,wetback
1617,whine
1618,whore
1620,wigger
1628,wolly
1629,wop
1634,worthless
1638,wreck
1639,wreck
1644,yarpie
1647,yokel
1648,zealot
1649,zigabo
